date,loessfit,loessmin,loessmax
2014-12-07,0.3934259576,0.4935098745,0.2933420407
2014-12-08,0.3939988071,0.4940357126,0.2939619015
2014-12-09,0.3946149157,0.4945309134,0.294698918
2014-12-10,0.3952960059,0.4949894536,0.2956025582
2014-12-11,0.3960400104,0.4954152283,0.2966647925
2014-12-12,0.396844862,0.4958123882,0.2978773357
2014-12-13,0.3977084934,0.496185313,0.2992316737
2014-12-14,0.3986288374,0.4965385884,0.3007190865
2014-12-15,0.3996038268,0.4968769832,0.3023306705
2014-12-16,0.4006313944,0.4972054283,0.3040573605
2014-12-17,0.4017094729,0.4975289949,0.3058899509
2014-12-18,0.4028359951,0.4978528716,0.3078191186
2014-12-19,0.4040088937,0.4981823405,0.309835447
2014-12-20,0.4052261016,0.4985227511,0.3119294521
2014-12-21,0.4064855515,0.4988794911,0.3140916119
2014-12-22,0.4077851762,0.4992579542,0.3163123982
2014-12-23,0.4091229084,0.4996635034,0.3185823134
2014-12-24,0.4104966809,0.5001014311,0.3208919307
2014-12-25,0.4119044265,0.5005769134,0.3232319396
2014-12-26,0.413344078,0.5010949607,0.3255931953
2014-12-27,0.414813568,0.5016603626,0.3279667735
2014-12-28,0.4163108295,0.5022776294,0.3303440297
2014-12-29,0.4178337951,0.5029509292,0.332716661
2014-12-30,0.4193803977,0.5036840226,0.3350767728
2014-12-31,0.42094857,0.5044801945,0.3374169454
2015-01-01,0.4225362447,0.5053421877,0.3397303017
2015-01-02,0.4241413547,0.506272136,0.3420105733
2015-01-03,0.4257618327,0.5072715027,0.3442521626
2015-01-04,0.4273956114,0.5083410236,0.3464501993
2015-01-05,0.4290406238,0.509480659,0.3486005885
2015-01-06,0.4306948024,0.5106895549,0.3507000499
2015-01-07,0.4323560801,0.5119660167,0.3527461436
2015-01-08,0.4340223897,0.5133074954,0.3547372841
2015-01-09,0.435691664,0.5147105886,0.3566727393
2015-01-10,0.4373618356,0.5161710551,0.3585526161
2015-01-11,0.4390308374,0.517683844,0.3603778307
2015-01-12,0.4406966021,0.519243137,0.3621500672
2015-01-13,0.4423570625,0.5208424017,0.3638717234
2015-01-14,0.4440101515,0.522474456,0.365545847
2015-01-15,0.4456538016,0.524131539,0.3671760643
2015-01-16,0.4472859458,0.525805389,0.3687665026
2015-01-17,0.4489045168,0.527487324,0.3703217096
2015-01-18,0.4505074473,0.5291683246,0.37184657
2015-01-19,0.4520926702,0.5308391164,0.373346224
2015-01-20,0.4536581182,0.5324902515,0.3748259848
2015-01-21,0.455201724,0.5341121877,0.3762912603
2015-01-22,0.4567214205,0.5356953647,0.3777474762
2015-01-23,0.4582151403,0.5372302784,0.3792000023
2015-01-24,0.4596808164,0.5387075512,0.3806540816
2015-01-25,0.4611163814,0.540118002,0.3821147608
2015-01-26,0.4625197681,0.5414527146,0.3835868216
2015-01-27,0.4639116324,0.5427425039,0.3850807608
2015-01-28,0.4653131699,0.5440237712,0.3866025685
2015-01-29,0.4667231232,0.5452962702,0.3881499763
2015-01-30,0.4681402351,0.5465598083,0.389720662
2015-01-31,0.4695632482,0.5478142299,0.3913122664
2015-02-01,0.470990905,0.5490594012,0.3929224088
2015-02-02,0.4724219482,0.5502951947,0.3945487018
2015-02-03,0.4738551206,0.5515214756,0.3961887655
2015-02-04,0.4752891645,0.5527380889,0.3978402402
2015-02-05,0.4767228229,0.5539448466,0.3995007992
2015-02-06,0.4781548382,0.5551415162,0.4011681601
2015-02-07,0.479583953,0.5563278098,0.4028400963
2015-02-08,0.4810089101,0.5575033742,0.4045144461
2015-02-09,0.4824284521,0.5586677814,0.4061891229
2015-02-10,0.4838413216,0.55982052,0.4078621232
2015-02-11,0.4852462612,0.5609609878,0.4095315346
2015-02-12,0.4866420136,0.5620884852,0.411195542
2015-02-13,0.4880273214,0.5632022089,0.4128524339
2015-02-14,0.4894009272,0.5643012474,0.414500607
2015-02-15,0.4907615738,0.5653845775,0.41613857
2015-02-16,0.4921080036,0.5664510608,0.4177649464
2015-02-17,0.4934389594,0.5674994428,0.4193784759
2015-02-18,0.4947531837,0.568528352,0.4209780154
2015-02-19,0.4960494193,0.5695363008,0.4225625378
2015-02-20,0.4973264087,0.5705216869,0.4241311305
2015-02-21,0.4985828946,0.5714827971,0.4256829922
2015-02-22,0.4998176197,0.5724178107,0.4272174286
2015-02-23,0.5010293265,0.5733248058,0.4287338471
